KEY,ENGLISH,NAHNYA,ROMANIZATION,TRANSLATION_COMMENTS
BODY_RULE5,"	As you make your way through the untamed wilderness, it's inevitable that you'll get some scratches and bumps.<br><br>	The more hurt you get, the less <color=#0f7f00>Stamina</color> you'll have to run and climb, so tend to your injuries as soon as possible with a bandage or a healing herb!",,,
BODY_RULE6,"	Getting hurt isn't the only way for your <color=#0f7f00>Stamina</color> to go downhill fast. As you climb, you'll find yourself experiencing <color=#b58200>Hunger</color>, for which 10/10 experts recommend eating food.<br><br>	Be cautious of eating plants from the wilderness! They could poison you and really mess up your day. If you have the option, choose a packaged snack from a corporation you trust!",,,
BODY_RULE7,"	Putting a backpack on is a great way to carry additional items, which can make the difference between life and death!<br><br>	HOWEVER, the more <color=#61380a>Weight</color> you carry, the less stamina you'll have to climb! An experienced scout knows to pack everything they need... and nothing more!",,,
BODY_RULE8,"	In a survival situation, one of the worst things that can happen is getting separated from the group. <br><br>	Maintain constant communication whenever possible, and point out your next route in advance to avoid leaving a friend behind!",,,
BONUSRULE,BONUS RULE,,,
BUGPHOBIAMODE,BUG PHOBIA MODE,,,
CALDERA,CALDERA,,,
CAMPFIRE,CAMPFIRE,KRIKEIN,KRIKEIN,firepit
CANCEL,CANCEL,YHP,YAHP,stop
CANTLIGHT,can't light campfire with friends missing!,SHMYHPEDAFEKRHKRIKEINNIKRHPHBEDEG,sahmyh pedavegrh krikein nikrh pahbedeng!,start.2SG (permissive mood).NEG fire without friend.PL
CARRY,carry #,DH#,dah #,carry #
CHAIN,CHAIN,DEFHANNAI,DEVHANNAI,rope+metal
CHANGE ANGLE,adjust angle,,,
CINEMA,cinema,SINEMA,sinema,cinema(loan)
CLIMB,CLIMB,DHKHG,DAH KHNG,hold wall
Climbing extra field of view,CLIMBING EXTRA FIELD OF VIEW,,,
CLIMBUSE,CLIMB / USE ITEM,,,
CLOSETHEGAME,Close and update the game.,,,
COLORBLINDNESSMODE,COLOR BLINDNESS MODE,,,
COMMUNE,commune,,,
CONNECTING,CONNECTING...,MYH.,MYH...,starting...
CONTINUE,CONTINUE,KRICA,KRICHA,remain/wait/continue...
CONTROLLER ICONS,CONTROLLER ICONS,,,
CONTROLLER SENSITIVITY,CONTROLLER SENSITIVITY,,,
CONTROLS,CONTROLS,,,
CONTROLSNOTSUPPORTED,Controls remapping is not currently supported.\nYou can use Steam Input to remap gamepads.,,,
COOK,cook,FIGFWM,fingvwm,cook
COOKED_BURNT,BURNT #,,,
COOKED_COOKED,COOKED #,,,
COOKED_INCINERATED,INCINERATED #,,,
COOKED_WELLDONE,WELL-DONE #,,,
CRASHOUT,crashout,,,
CREDITS,CREDITS,PAPADANWFIG,PABADA NWVING,people+development
CROSSED ARMS,crossed arms,,,
CROUCH,CROUCH,,,
DANCE,dance,NEPYAKEG,nebyageng,dance
DANCE2,shimmy,,,
DAY,Day #,NYARI#,Nyari #,day #
DEAD,DEAD,DEGRAFEISE,DEGRAFEISE,lost (from death).PAST
DEFEAT,it's so over,,,
DESC_24 KARAT,Offer The Kiln a worthy sacrifice.,,,
DESC_ADVANCED MYCOLOGY,Try all 5 types of Shroomberry in a single expedition.,,,
DESC_AERONAUTICS,Achieve flight.,,,
DESC_ALPINIST,Climb past the ALPINE.,,,
DESC_ANIMAL SERENADING,Play the bugle for a capybara.,,,
DESC_APPLIED ESOTERICA,Resurrect a friend using unholy means.,,,
DESC_ARBORIST,Reach the top of a really big tree.,,,
DESC_ASCENT 1,FALL DAMAGE IS GREATER.,,,
DESC_ASCENT 2,HUNGER GROWS FASTER.,,,
DESC_ASCENT 3,ITEMS HAVE INCREASED WEIGHT.,,,
DESC_ASCENT 4,THERE ARE NO FLARES ATOP THE PEAK.,,,
DESC_ASCENT 5,THE NIGHT IS COLD.,,,
DESC_ASCENT 6,CLIMBING TAKES ADDITIONAL STAMINA.,,,
DESC_ASCENT 7,YOU CANNOT REVIVE THE DEAD.,,,
DESC_ASTRONOMY,Look a little too closely at the blazing sun.,,,
DESC_BALLOONBADGE,Escape the island without taking fall damage.,,,
DESC_BEACHCOMBER,Climb past the SHORE.,,,
DESC_BINGBONGBADGE,Help Bing Bong escape the island.,,,
DESC_BOOKWORM,Read all of Scoutmaster Myres's journal entries.,,,
DESC_BOULDERING,Place 10 pitons.,,,
DESC_BUNDLED UP,Climb past the ALPINE without ever having more than 20% Cold.,,,
DESC_CALCIUM INTAKE,Block 100 total damage with the Fortified Milk.,,,
DESC_CLUTCH,Resurrect 3 scouts in a single expedition.,,,
DESC_COMPETITIVE EATING,Eat 3 Hot Dogs in 5 seconds or less.,,,
DESC_COOKING,Cook 20 meals at campfires.,,,
DESC_COOL CUCUMBER,Climb past the MESA without ever having more than 10% Heat.,,,
DESC_CRYPTOGASTRONOMY,Cook and eat a Mandrake.,,,
DESC_DAREDEVIL,Shoot across the MESA canyon in a Scout Cannon.,,,
DESC_DISASTER RESPONSE,Pull an unconscious friend 30m with the Rescue Claw.,,,
DESC_EMERGENCY PREPAREDNESS,Heal an unconscious friend with an item to save them from death.,,,
DESC_ENDURANCE,Climb 50m upwards without touching the ground.,,,
DESC_ESOTERICA,Obtain a mystical item.,,,
DESC_FIRST AID,Heal your friends for 100 points of injury in a single expedition.,,,
DESC_FORAGING,Eat 5 different berries in a single expedition.,,,
DESC_FORESTRY,Climb past the ROOTS.,,,
DESC_GOURMAND,"Escape the island after cooking and eating a coconut half, a honeycomb, a yellow winterberry, and an egg.",,,
DESC_HAPPY CAMPER,Receive 5 Morale Boosts from campfires.,,,
DESC_HASTY,Escape the island in under an hour.,,,
DESC_HIGH ALTITUDE,Climb 5000m total.,,,
DESC_KNOT TYING,Place 100m of rope in a single expedition.,,,
DESC_LEAVE NO TRACE,Escape the island without placing anything on the mountain.,,,
DESC_LONE WOLF,Escape the island in a solo expedition.,,,
DESC_MEGAENTOMOLOGY,Survive an Antlion attack.,,,
DESC_MENTORSHIP,Have a 1-on-1 with the Scoutmaster.,,,
DESC_MYCOACROBATICS,Bounce up 40m off a mushroom.,,,
DESC_MYCOLOGY,Eat four different non-toxic mushrooms in a single expedition.,,,
DESC_NATURALIST,Escape the island without eating any packaged food.,,,
DESC_NEEDLEPOINT,Have a lot of cactuses stuck to you.,,,
DESC_NOMAD,Climb past the MESA.,,,
DESC_PARTICIPATION,Have a friend escape the island without you.,,,
DESC_PEAK,THE ISLAND'S DEFAULT DIFFICULTY.,,,
DESC_PEAKBADGE,Reach the PEAK.,,,
DESC_PLUNDERER,Open 15 luggages in a single expedition.,,,
DESC_RESOURCEFULNESS,Give in to your hunger.,,,
DESC_SURVIVALIST,Escape the island without ever losing consciousness.,,,
DESC_TENDERFOOT,CLIMBING TAKES LESS STAMINA. HUNGER GROWS MORE SLOWLY. NO TIME LIMIT.,,,
DESC_TOXICOLOGY,Restore 200 total poison by using items.,,,
DESC_TRAILBLAZER,Climb past the TROPICS.,,,
DESC_TREAD LIGHTLY,Climb past the ROOTS without ever having more than 25% spores.,,,
DESC_ULTIMATE,Catch a Flying Disc from 100m away.,,,
DESC_UNDEAD ENCOUNTER,Cure yourself from a zombie bite.,,,
DESC_VOLCANOLOGY,Climb past the CALDERA.,,,
DESC_WEB SECURITY,Escape a spider's web and survive.,,,
DONTFORGET,DON'T FORGET<br><size=150%>RULE 0!,,,
DRINK,drink,,,
DROP,drop #,YA,ya,drop
DROPTHROW,DROP / THROW (HOLD),,,
EAT,eat,FWM,fwm,eat
EIGHT,Eight,HEICH,Heichh,eight
EMOTE,EMOTE,,,
ENABLECANNIBALISM,ENABLE CANNIBALISM,,,
ENABLED,ENABLED,,,
ENABLETHELOOKER,ENABLE <i>THE LOOKER</i>,,,
Explorer's Luggage,EXPLORER'S LUGGAGE,,,
EXTINGUISH,extinguish,,,
FAILEDTOCONNECT,Failed to connect to Photon Network,,,
FEED TO #TARGETCHAR,feed to #targetchar,,,
FIELD OF VIEW,FIELD OF VIEW,,,
FIRE,fire,KEIN,kein,fire
FIVE,Five,HEINH,Heinah,five
FLAME,FLAME,,,
FLEX,flex,,,
FLIP PAGE,flip page,,,
FOUR,Four,HEI,Hei,four
FRIENDS,OPEN TO FRIENDS,,,
FROM,FROM:,HECIN,HECHIN:,from
FULLSCREEN,FULLSCREEN,,,
GAMEPAD,GAMEPAD,,,
GATE,GATE:,NWFEI,NWVEI:,gate
GATEKIOSK,GATE KIOSK,,,
GEM_ACTIVATED,Gem Activated,,,
GEM_DEACTIVATED,Gem Deactivated,,,
GENERAL,GENERAL,,,
GHOSTMESSAGE,you are a ghost,,,
GIVEUP,give up,,,
GOAT SCOUT,GOAT SCOUT,,,
GRAB,grab,DH,dah,hold
GRAPHICS,GRAPHICS,,,
HEAL #TARGETCHAR,heal #targetchar,FHNYE#,fahnye #,heal #
HEAL INJURIES,heal injuries,FHNYEPADA,fahnye pada,heal body
HEAT UP,heat up,HA,ha,heat
HEAT UP #TARGETCHAR,heat up #targetchar,HA#,ha #,heat #
HELPINGHAND,HELPING HAND,YHHAI,YHHAI,hand+help
HELPINGHANDUSE,HELPING HAND / ALT USE ITEM,,,
HIGH,HIGH,,,
HOLD,hold,DH,dah,hold
HOSTGAME,HOST GAME,MYHFEIFFH,MYH FEIFFH,start+shared
HOWTONOTDIE,HOW TO NOT DIE,,,
INPUTICONS,INPUT ICONS,,,
INSPECT,inspect,NYEI,nyei,look
INTERACT,INTERACT,HAI,HAI,use
INVENTORY SLOT,ITEM SLOT,,,
INVERT X,INVERT X,,,
INVERT Y,INVERT Y,,,
INVITE ONLY,INVITE ONLY,,,
INVITEFRIENDS,INVITE FRIENDS,,,
INVITEFRIENDS_LOWER,invite friends,,,
INVITEKIOSK,INVITE KIOSK,,,
JOINEDTHEEXPEDITION,# joined the expedition.,,,
JUMP,JUMP,PIHE,PIHE,jump
JUMPTOCLIMB,JUMP TO GRAB WALL,PIHEFINYADHKHG,PIHE FINYA DAH KHNG,jump (in order to) hold wall
KANGAROO SCOUT,KANGAROO SCOUT,,,
KBM,KEYBOARD & MOUSE,,,
LANGUAGE,LANGUAGE,SHPRE,SHPRE,our language
LEAVEGAME,LEAVE GAME,PIPI,PIPI,exit
LEFTTHEEXPEDITION,# left the expedition.,#PIPISE,# pipise,# leave.PAST
LEFTTODIE,<size=125%>YOUR FRIENDS<br>LEFT YOU TO DIE,,,
LICK,lick,FWMCI,fwm chi,eat+small
LIGHT,light,,,
LOADING,LOADING,,,
LOBBY MODE,LOBBY MODE,,,
LOOK,look,NYEI,nyei,see
LOW,LOW,,,
LUGGAGE,LUGGAGE,,,
LUNGE,lunge,PIGWF,pi ngwv,move+fast
MASTER VOLUME,MASTER VOLUME,,,
MAX FRAMERATE,MAX FRAMERATE,,,
MEDIUM,MEDIUM,,,
MESA,MESA,,,
MICROPHONE,MICROPHONE,,,
MICROPHONE MODE,MICROPHONE MODE,,,
MODAL_CANTCREATELOBBY_TITLE,FAILED TO CREATE LOBBY,,,
MODAL_CANTFINDLOBBY_BODY,This invite might be out of date.,,,
MODAL_CANTFINDLOBBY_TITLE,FAILED TO FIND LOBBY,,,
MODAL_CANTJOINLOBBY_TITLE,FAILED TO JOIN LOBBY,,,
MODAL_DISCONNECTEDPHOTON_BODY,"You disconnected from Photon, reason: #",,,
MODAL_DISCONNECTEDPHOTON_TITLE,DISCONNECTED FROM PHOTON,,,
MODAL_FAILEDPHOTON_TITLE,FAILED TO FIND PHOTON ROOM,,,
MODAL_FAILEDTOFETCH_BODY,Failed to fetch lobby data.,,,
MODAL_INVALIDLOBBY_BODY,Steam lobby doesn't seem valid.,,,
MODAL_MISMATCH_BODY,Host has different game version: [#] while you have [&].,,,
MODAL_MISMATCH_TITLE,GAME VERSION MISMATCH,,,
MODAL_OUTOFDATE_BODY,"Close the game, and update the game on steam...",,,
MODAL_OUTOFDATE_TITLE,VERSION OUT OF DATE,,,
MORALEBOOST,MORALE BOOST!!,,,
MOUSE SENSITIVITY,MOUSE SENSITIVITY,,,
MOVE,MOVE,,,
MOVE BACKWARD,MOVE BACKWARD,,,
MOVE FORWARD,MOVE FORWARD,,,
MOVE LEFT,MOVE LEFT,,,
MOVE RIGHT,MOVE RIGHT,,,
MULE SCOUT,MULE SCOUT,,,
MUSIC VOLUME,MUSIC VOLUME,,,
NAME,Name,PRENNAI,Prennai,name
NAME_24 KARAT,24 KARAT BADGE,,,
NAME_ADVANCED MYCOLOGY,ADVANCED MYCOLOGY BADGE,,,
NAME_AERONAUTICS,AERONAUTICS BADGE,,,
NAME_AIRLINE FOOD,AIRLINE FOOD,,,
NAME_ALOE VERA,ALOE VERA,,,
NAME_ALPINIST,ALPINIST BADGE,,,
NAME_ANCIENT IDOL,ANCIENT IDOL,,,
NAME_ANIMAL SERENADING,ANIMAL SERENADING BADGE,,,
NAME_ANTI-ROPE CANNON,ANTI-ROPE CANNON,,,
NAME_ANTI-ROPE SPOOL,ANTI-ROPE SPOOL,,,
NAME_ANTIDOTE,ANTIDOTE,,,
NAME_APPLIED ESOTERICA,APPLIED ESOTERICA BADGE,,,
NAME_ARBORIST,ARBORIST BADGE,,,
NAME_ASTRONOMY,ASTRONOMY BADGE,,,
NAME_BACKPACK,BACKPACK,CHKHGSEI,CHHKHNGSEI,container+back
NAME_BALLOON,BALLOON,,,
NAME_BALLOON BUNCH,BALLOON BUNCH,,,
NAME_BALLOONBADGE,BALLOON BADGE,,,
NAME_BANDAGES,BANDAGES,,,
NAME_BASKETBALL,BASKETBALL,,,
NAME_BEACHCOMBER,BEACHCOMBER BADGE,,,
NAME_BEEHIVE,BEEHIVE,KRWMYANEI,KRWMYANEI,house+bee
NAME_BERRYNANA PEEL,BERRYNANA PEEL,,,
NAME_BIG EGG,BIG EGG,NYEDW,NYE DW,egg big
NAME_BIG LOLLIPOP,BIG LOLLIPOP,,,
NAME_BING BONG,BING BONG,PIGPAG,PING PANG,bing bong
NAME_BINGBONGBADGE,BING BONG BADGE,,,
NAME_BINOCULARS,BINOCULARS,,,
NAME_BIRD,BIRD,PW,PW,bird
NAME_BISHOP,BISHOP,,,
NAME_BLACK CLUSTERBERRY,BLACK CLUSTERBERRY,,,
NAME_BLOWGUN,BLOWGUN,,,
NAME_BLUE BERRYNANA,BLUE BERRYNANA,,,
NAME_BLUE SHROOMBERRY,BLUE SHROOMBERRY,,,
NAME_BOOKWORM,BOOKWORM BADGE,,,
NAME_BOULDERING,BOULDERING BADGE,,,
NAME_BOUNCE FUNGUS,BOUNCE FUNGUS,,,
NAME_BROWN BERRYNANA,BROWN BERRYNANA,,,
NAME_BUGLE,BUGLE,,,
NAME_BUGLE OF FRIENDSHIP,BUGLE OF FRIENDSHIP,,,
NAME_BUGLE SHROOM,BUGLE SHROOM,,,
NAME_BUNDLED UP,BUNDLED UP BADGE,,,
NAME_BUTTON SHROOM,BUTTON SHROOM,,,
NAME_CACTUS,CACTUS,,,
NAME_CALCIUM INTAKE,CALCIUM INTAKE BADGE,,,
NAME_CHAIN LAUNCHER,CHAIN LAUNCHER,NWHEINYEFHNDEFHANNAI,NWHEINYE FAHT DEVHANNAI,tool+send rope+metal
NAME_CHECKPOINT FLAG,CHECKPOINT FLAG,,,
NAME_CHUBBY SHROOM,CHUBBY SHROOM,,,
NAME_CLOUD FUNGUS,CLOUD FUNGUS,,,
NAME_CLUSTER SHROOM,CLUSTER SHROOM,,,
NAME_CLUTCH,CLUTCH BADGE,,,
NAME_COCONUT,COCONUT,,,
NAME_COCONUT HALF,COCONUT HALF,,,
NAME_COMPASS,COMPASS,NWHEINYEHEIKA,NWHEINYE HEIKA,tool direction
NAME_COMPETITIVE EATING,COMPETITIVE EATING BADGE,,,
NAME_CONCH,CONCH,,,
NAME_COOKING,COOKING BADGE,,,
NAME_COOL CUCUMBER,COOL CUCUMBER BADGE,,,
NAME_CRYPTOGASTRONOMY,CRYPTOGASTRONOMY BADGE,,,
NAME_CURE-ALL,CURE-ALL,,,
NAME_CURSED SKULL,CURSED SKULL,,,
NAME_DAREDEVIL,DAREDEVIL BADGE,,,
NAME_DISASTER RESPONSE,DISASTER RESPONSE BADGE,,,
NAME_DYNAMITE,DYNAMITE,,,
NAME_EGG,EGG,NYE,NYE,egg
NAME_EMERGENCY PREPAREDNESS,EMERGENCY PREPAREDNESS BADGE,,,
NAME_ENDURANCE,ENDURANCE BADGE,,,
NAME_ENERGY DRINK,ENERGY DRINK,,,
NAME_ESOTERICA,ESOTERICA BADGE,,,
NAME_FAERIE LANTERN,FAERIE LANTERN,,,
NAME_FIRST AID,FIRST AID BADGE,,,
NAME_FIRST AID KIT,FIRST AID KIT,,,
NAME_FLARE,FLARE,,,
NAME_FORAGING,FORAGING BADGE,,,
NAME_FORESTRY,FORESTRY BADGE,,,
NAME_FORTIFIED MILK,FORTIFIED MILK,,,
NAME_FRISBEE,FLYING DISC,,,
NAME_GOLD PRICKLEBERRY,GOLD PRICKLEBERRY,,,
NAME_GOURMAND,GOURMAND BADGE,,,
NAME_GRANOLA BAR,GRANOLA BAR,,,
NAME_GREEN CLUSTERBERRY,GREEN CLUSTERBERRY,,,
NAME_GREEN CRISPBERRY,GREEN CRISPBERRY,,,
NAME_GREEN KINGBERRY,GREEN KINGBERRY,,,
NAME_GREEN SHROOMBERRY,GREEN SHROOMBERRY,,,
NAME_GUIDEBOOK,GUIDEBOOK,,,
NAME_HAPPY CAMPER,HAPPY CAMPER BADGE,,,
NAME_HASTY,HASTY BADGE,,,
NAME_HEAT PACK,HEAT PACK,,,
NAME_HIGH ALTITUDE,HIGH ALTITUDE BADGE,,,
NAME_HONEYCOMB,HONEYCOMB,,,
NAME_HOT DOG,HOT DOG,,,
NAME_KING,KING,,,
NAME_KNIGHT,KNIGHT,,,
NAME_KNOT TYING,KNOT TYING BADGE,,,
NAME_LANTERN,LANTERN,NWHEINYENYA,NWHEINYE NYA,tool light
NAME_LEAVE NO TRACE,LEAVE NO TRACE BADGE,,,
NAME_LONE WOLF,LONE WOLF BADGE,,,
NAME_MAGIC BEAN,MAGIC BEAN,,,
NAME_MANDRAKE,MANDRAKE,,,
NAME_MARSHMALLOW,MARSHMALLOW,,,
NAME_MEDICINAL ROOT,MEDICINAL ROOT,,,
NAME_MEGAENTOMOLOGY,MEGAENTOMOLOGY BADGE,,,
NAME_MEGAPHONE,MEGAPHONE,,,
NAME_MENTORSHIP,MENTORSHIP BADGE,,,
NAME_MYCOACROBATICS,MYCOACROBATICS BADGE,,,
NAME_MYCOLOGY,MYCOLOGY BADGE,,,
NAME_NAPBERRY,NAPBERRY,,,
NAME_NATURALIST,NATURALIST BADGE,,,
NAME_NEEDLEPOINT,NEEDLEPOINT BADGE,,,
NAME_NOMAD,NOMAD BADGE,,,
NAME_ORANGE WINTERBERRY,ORANGE WINTERBERRY,,,
NAME_PANDORA'S LUNCHBOX,PANDORA'S LUNCHBOX,,,
NAME_PARASOL,PARASOL,,,
NAME_PARTICIPATION,PARTICIPATION BADGE,,,
NAME_PASSPORT,PASSPORT,NWRAMPIHEN,NWRAMBIHEN,passport
NAME_PAWN,PAWN,,,
NAME_PEAKBADGE,PEAK BADGE,,,
NAME_PINK BERRYNANA,PINK BERRYNANA,,,
NAME_PIRATE'S COMPASS,PIRATE'S COMPASS,,,
NAME_PITON,PITON,,,
NAME_PLUNDERER,PLUNDERER BADGE,,,
NAME_PORTABLE STOVE,PORTABLE STOVE,,,
NAME_PURPLE KINGBERRY,PURPLE KINGBERRY,,,
NAME_PURPLE SHROOMBERRY,PURPLE SHROOMBERRY,,,
NAME_QUEEN,QUEEN,,,
NAME_RED CLUSTERBERRY,RED CLUSTERBERRY,,,
NAME_RED CRISPBERRY,RED CRISPBERRY,,,
NAME_RED PRICKLEBERRY,RED PRICKLEBERRY,,,
NAME_RED SHROOMBERRY,RED SHROOMBERRY,,,
NAME_REMEDY FUNGUS,REMEDY FUNGUS,,,
NAME_RESCUE CLAW,RESCUE CLAW,,,
NAME_RESOURCEFULNESS,RESOURCEFULNESS BADGE,,,
NAME_ROOK,ROOK,,,
NAME_ROPE CANNON,ROPE CANNON,,,
NAME_ROPE SPOOL,ROPE SPOOL,,,
NAME_SCORCHBERRY,SCORCHBERRY,,,
NAME_SCORPION,SCORPION,,,
NAME_SCOUT CANNON,SCOUT CANNON,,,
